окно;logs
зеркало;spogulis
кровать;gulta
бабушка;vecmāmiņa
стена;siena
ковер;paklājs
квартира;dzīvoklis
комната;istaba
шторы;aizkari
лестница;kāpnes
мир;pasaule
плавать;peldēt
говорить;teikt
сидеть;sēdēt
осень;rudens
песок;smilts
гулять;staigāt
стоять;stāvēt
рыба;zivs
там;tur
читать;lasīt
вот;lūk
помогать;palīdzēt
слушать;klausīties
удобный;ērts
конечная;galapunktā
сто;simts
играю;spēlēju
гость;viesis
угощать;cienāt
сразу;tūlīt
(он) идет;iet
паром;pramis
чинить;labot
писать;rakstīt
зонт;lietussargs
продуктовый;pārtikas
покупать;pirkt
окраина;nomale
отдыхать;atpūsties
фрукты;augļi
продавец;pārdevējs
дольше;ilgāk
знание;zināšana
церковь;baznīca
очки;brilles
ложка;karote
вилка;dakšiņa
нож;nazis
быстро;ātri
будущее;nākotne
улучшать;uzlabot
говорить;runat
играть;spēlēt
здоровье;veselība
отпуск;atvaļinājums
так получилось; tā sanāca
болезнь;slimība
яйцо;oliņa
всегда;vienmēr
часто;bieži
взвесить;svērt
гриб;sēne
опоздать;nokavēt
дешевле;lētāk
послезавтра;parīt
мыть;mazgāt
сейчас;pašlaik
медленно;lēni
прекрасный;jauks
вдоль;gar
незаметно;nemanot
пешком;kājām
покупатель;pircējs
